genes
AFAP1L2
AFF4
AFM
AFMID
AFP
AFTPH
AGA
AGAP1
AGAP2-AS1
AGAP4
AGAP6
AGAP7P
AGBL2
AGBL4
AGBL5
AGFG1
AGK
AGL
AGO2
AGO3
AGO4
AGPAT2
AGPAT3
AGPAT4
AGPAT4-IT1
AGPAT5
AGPAT6
AGPAT9
AGPS
AGR2
AGT
AGTPBP1
AGTR2
AGTRAP
AGXT2
AHCTF1
AHCY
AHCYL2
AHDC1
AHI1
AHNAKRS
AHR
AHSA1
AHSA2
AHSG
AICDA
AIF1L
AIMP1
AIMP2
AIP
AJAP1
AJUBA
AK2
AK3
AK4
AK7
AK8
AK9
AKAP10
AKAP11
AKAP14
AKAP3
AKAP450
AKAP6
AKAP8
AKAP8L
AKIP1
AKIRIN1
AKIRIN2
AKIRIN2-AS1
AKR1B1
AKR1B11
AKR1B15
AKR1C1
AKR1C4
AKR1D1
AKR7A3
AKR7L
AKT1
AKT1S1
AKT2
AKT3
AKTIP
ALAD
ALAS1
ALB
ALDH16A1
ALDH1A1
ALDH1A2
ALDH1B1
ALDH2
ALDH3A2
ALDH5A1
ALDH8A1
ALDH9A1
ALDOC
ALG1
ALG10
ALG10B
ALG11
ALG12
ALG2
ALG5
ALG8
ALG9
ALKBH1
ALKBH2
ALKBH4
ALKBH5
ALKBH6
ALKBH7
ALKBH8
ALMS1P
ALOX12
ALOX12B
ALOX5
ALPI
ALPK2
ALPK3
ALS2CR11
ALS2CR12
ALS2CR14
ALS2CR6
ALSFTD
AMBP
AMBRA1
AMDHD1
AMDHD2
AMER1
AMER2
AMER3
AMFR
AMIGO1
AMIGO2
AMIGO3
AMMECR1L
AMN1
AMPD1
AMPD2
AMPH
AMTN
AMY1A
AMY2A
AMY2B
AMZ1
AMZ2
AMZ2P1
ANAPC10
ANAPC11
ANAPC13
ANAPC15
ANAPC16
ANAPC2
ANAPC4
ANAPC7
ANG
ANGEL1
ANGEL2
ANGPT1
ANGPTL2
ANGPTL6
ANKAR
ANKEF1
ANKFY1
ANKH
ANKHD1
ANKHD1-EIF4EBP3
ANKIB1
ANKL1
ANKLE1
ANKLE2
ANKMY1
ANKRA2
ANKRD1
ANKRD10
ANKRD13A
ANKRD13C
ANKRD13D
ANKRD16
ANKRD2
ANKRD20B
ANKRD23
ANKRD26P1
ANKRD27
ANKRD28
ANKRD30A
ANKRD30B
ANKRD31
ANKRD34A
ANKRD34C
ANKRD36
ANKRD36B
ANKRD36BP1
ANKRD36BP2
ANKRD39
ANKRD40
ANKRD46
ANKRD49
ANKRD50
ANKRD54
ANKRD6
ANKRD7
ANKRD9
ANKS1A
ANKS1B
ANKS3
ANKS4B
ANKS6
ANKZF1
ANO1
ANO10
ANO3
ANO6
ANO8
ANOS1
ANP32A
ANP32A-IT1
ANP32AP1
ANP32C
ANP32E
ANTXR2
ANXA1
ANXA11
ANXA13
ANXA2
ANXA2P2
ANXA3
ANXA4
ANXA5
ANXA6
ANXA7
ANXA9
AOA
AOC2
AOC3
AOC4P
AOX2P
AP1AR
AP1B1
AP1G1
AP1G2
AP1M1
AP1M2
AP1S2
AP1S3
AP2A1
AP2A2
AP2B1
AP2M1
AP3B1
AP3B2
AP3D1
AP3M1
AP3M2
AP3S1
AP3S2
AP4B1
AP4E1
AP4M1
AP4S1
AP5B1
AP5M1
AP5S1
AP5Z1
APAF1
APBA1
APBA3
APBB1
APBB2
APBB3
APC
APC2
APCS
APEX1
APEX2
APH1A
APH1B
APIP
APITD1
APLF
APLN
APLP1
APLP2
APM-1
APMAP
APOA1
APOA1BP
APOA2
APOA4
APOBEC1
APOBEC2
APOBEC3F
APOBEC3G
APOBEC3H
APOBEC4
APOC3
APOH
APOL2
APOL6
APOO
APOOL
APP
APPBP2
APPL1
APPL2
AQP10
AQP12
AQP2
AQP6
AQP7L
AQP7P3
AQP8
AQR
AR
ARAF
ARAP1
ARAP2
ARAP3
ARCN1
AREI
AREL1
ARF1
ARF4
ARFGAP1
ARFGAP2
ARFGAP3
ARFGEF2
ARFIP2
ARG1
ARGFX
ARGFXP2
ARGLU1
ARHGAP1
ARHGAP10
ARHGAP11B
ARHGAP18
ARHGAP19
ARHGAP21
ARHGAP23
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP29
ARHGAP31
ARHGAP39
ARHGAP5-AS1
ARHGAP6
ARHGAP8
ARHGDIA
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF11
ARHGEF15
ARHGEF16
ARHGEF17
ARHGEF18
ARHGEF2
ARHGEF25
ARHGEF3
ARHGEF33
ARHGEF35
ARHGEF37
ARHGEF38
ARHGEF4
ARHGEF40
ARHGEF5
ARHGEF6
ARHGEF7
ARHGEF9
ARI
ARID1A
ARID2
ARID3A
ARID3B
ARID3C
ARID4A
ARID4B
ARID5B
ARIH2
ARIH2OS
ARL1
ARL10A
ARL11
ARL13A
ARL13B
ARL14
ARL14EP
ARL15
ARL16
ARL17A
ARL17B
ARL2
ARL2BP
ARL3
ARL4A
ARL4C
ARL4D
ARL5A
ARL5B
ARL6IP
ARL6IP5
ARL6IP6
ARL8A
ARL8B
ARMC1
ARMC10
ARMC2
ARMC4
ARMC5
ARMC6
ARMC7
ARMC9
ARMCX2
ARMCX3
ARMCX5
ARMETL1
ARMS2
ARMT1
ARNT
ARNT2
ARNTL
ARPC1A
ARPC1B
ARPC3
ARPC4
ARPC5
ARPC5L
ARPIN
ARPP19
ARRB1
ARRB2
ARRDC1
ARRDC3-AS1
ARRDC4
ARSB
ARSD
ARSE
ARSK
ART3
ARTN
ARV1
ARVCF
ASAH1
ASAH2C
ASAP1
ASAP1-IT1
ASAP2
ASB1
ASB10
ASB11
ASB12
ASB13
ASB14
ASB15
ASB16-AS1
ASB17
ASB18
ASB3
ASCC1
ASCC2
ASCC3
ASCL2
ASF1A
ASGR1
ASH1L
ASH2L
ASIC1
ASIC4
ASIC5
ASMTL
ASNA1
ASNSD1
ASPDH
ASPHD1
ASPHD2
ASPRV1
ASTE1
ASXL1
ASXL2
ATAD1
ATAD2B
ATAD3A
ATAD3B
ATAD5
ATAT1
ATE1
ATF1
ATF2
ATF4
ATF5
ATF6
ATF7
ATF7IP
ATG10
ATG12
ATG13
ATG14
ATG16L2
ATG2A
ATG2B
ATG3
ATG4A
ATG4C
ATG4D
ATG5
ATG7
ATG9A
ATHL1
ATIC
ATL1
ATL2
ATL3
ATM
ATMIN
ATN1
ATOH1
ATP10D
ATP11B
ATP11C
ATP12A
ATP13A1
ATP13A2
ATP13A3
ATP13A4
ATP1A1-AS1
ATP1B2
ATP1B3
ATP1B4
ATP2A1
ATP2A3
ATP2B1
ATP2B2
ATP2C2
ATP5AL2
ATP5B
ATP5CL1
ATP5F1
ATP5G3
ATP5J
ATP5L
ATP5S
ATP5SL
ATP6AP1
ATP6AP1L
ATP6V0A1
ATP6V0B
ATP6V0C
ATP6V0E1
ATP6V0E2
ATP6V1A
ATP6V1B2
ATP6V1D
ATP6V1E1
ATP6V1E2
ATP6V1G1
ATP6V1H
ATP7A
ATP8A1
ATP8B1
ATP8B2
ATP9B
ATPAF1
ATPAF2
ATPIF1
ATR
ATRAID
ATRIP
ATXN1
ATXN2L
ATXN3
ATXN3L
ATXN7
ATXN7L2
ATXN7L3
ATXN7L3B
ATXN8OS
AUF1
AUH
AUNIP
AUP1
AURKC
AUTS2
AVEN
AVL9
AVP
AVPR1B
AXDND1
AXIN1
AXIN2
AXL
AZ2
AZIN1
AZIN2
AZU1
B2M
B3GALNT2
B3GALT1
B3GALT4
B3GALTL
B3GAT2
B3GAT3
B3GNT7
B3GNT9
B4GALNT3
B4GALT1
B4GALT2
B4GALT3
B4GALT4
B4GALT5
B4GALT6
B4GAT1
B9D2
BAAT
BABAM1
BACE1
BACE2
BACH1
BACH2
BAG3
BAG6
BAGE
BAGE2
BAHD1
BAIAP2
BAIAP2-AS1
BAIAP3
BAK1
BANF2
BANP
BAP1
BARD1
BARHL1
BARX2
BAX
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BBIP1
BBOX1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BBX
BCAP29
BCAP31
BCAR3
BCAR4
BCAS1
BCAS2
BCAS3
BCAT1
BCCIP
BCDIN3D
BCDIN3D-AS1
BCKDK
BCL10
BCL2
BCL2L1
BCL2L2
BCL6
BCL7A
BCL7B
BCL9
BCL9L
BCLAF1
BCORL1
BCORP1
BCPM
BCR
BCYRN1
BDC
BDH1
BDH2
BDK
BDNF-AS
BECN1
BEND4
BEND5
BEND7
BEST1
BEST2
BEST3
BET1
BET1L
BEX1
BEX2
BEX4
BFAR
BFSP1
BHLHA15
BHLHB9
BHLHE23
BICD2
BID
BIN1
BIN3
BIN3-IT1
BIRC2
BIRC6
BIRC8
BIVM
BJS
BLCAP
BLM
BLMH
BLNK
BLOC1S2
BLOC1S3
BLOC1S4
BLOC1S5
BLVRA
BLZF1
BM-010
BMF
BMP10
BMP15
BMP2K
BMP4
BMP8B
BMPR1B
BMS1P1
BMX
BNC2
BNIP1
BNIP2
BNIP3
BNIP3L
BOC
BOD1
BOD1L1
BOK
BOLA1
BOLA3
BORA
BPGM
BPIFA2
BPIFA3
BPIFA4P
BPIFB3
BPIFB4
BPIFB6
BPNT1
BRAF
BRAP
BRAT1
BRCA1
BRCA2
BRCC3
BRCTD1
BRD7
BRD7P3
BRD8
BRD9
BRDT
BRDTP1
BRE
BRE-AS1
BRESEK
BRF2
BRI
BRI3BP
BRIP1
BRIX1
BRK1
BRMS1
BRMS1L
BROX
BRPF1
BRPF3
BRWD3
BSCL2
BSDC1
BSPH1
BSPRY
BST1
BSX
BTAF1
BTBD10
BTBD11
BTBD2
BTBD3
BTBD6
BTBD7
BTBD8
BTBD9
BTC
BTD
BTF3L4
BTG1
BTG3
BTN1A1
BTN2A1
BTN2A2
BTN2A3P
BTN3A1
BTN3A2
BTN3A3
BUB3
BUD13
BVES
BYSL
BZRAP1
BZW1
BZW2
C10ORF105
C10ORF111
C10ORF12
C10ORF120
C10ORF131
C10orf138
C10orf14
C10ORF2
C10ORF25
C10ORF32
C10orf41
C10ORF54
C10ORF71
C10ORF76
C10ORF88
C10ORF90
C10ORF91
C10ORF95
C11orf1
C11ORF16
C11ORF24
C11ORF30
C11ORF40
C11ORF42
C11ORF49
C11ORF52
C11ORF53
C11ORF57
C11ORF58
C11ORF63
C11ORF65
C11ORF68
C11ORF70
C11ORF71
C11ORF74
C11ORF84
C11ORF85
C11ORF88
C11ORF95
C12ORF10
C12ORF29
C12ORF3
C12ORF4
C12ORF40
C12ORF49
C12ORF57
C12ORF65
C12ORF66
C12orf7
C12ORF71
C12ORF76
C12ORF77
C13orf15
C13orf19
C14ORF1
C14ORF105
C14ORF119
C14orf123
C14orf141
C14ORF142
C14ORF159
C14ORF166
C14ORF169
C14ORF177
C14ORF180
C14orf184
C14ORF28
C14orf33
C14ORF37
C14orf61
C14ORF79
C14ORF93
C15ORF26
C15ORF32
C15ORF39
C15ORF40
C15ORF41
C15ORF52
C15ORF56
C15ORF57
C15ORF61
C15ORF62
C16ORF45
C16ORF46
C16ORF58
C16orf6
C16ORF62
C16ORF71
C16ORF72
C16ORF78
C16ORF86
C16ORF87
C16ORF89
C16ORF91
C16ORF92
C16ORF96
C17ORF100
C17ORF104
C17ORF105
C17ORF107
C17orf33
C17ORF47
C17ORF49
C17ORF51
C17ORF53
C17ORF62
C17ORF70
C17ORF75
C17ORF78
C17ORF80
C17ORF85
C17ORF97
C17ORF98
C17ORF99
C18ORF21
C18ORF25
C18orf3
C18ORF32
C18ORF54
C18ORF8
C19ORF12
C19ORF25
C19ORF38
C19ORF44
C19ORF47
C19orf49
C19ORF52
C19ORF54
C19ORF66
C19ORF71
C1D
C1GALT1
C1GALT1C1
C1GALT1C1L
C1ORF100
C1ORF101
C1ORF105
C1ORF109
C1ORF110
C1ORF111
C1ORF112
C1ORF116
C1ORF127
C1ORF131
C1ORF141
C1ORF158
C1ORF159
C1ORF168
C1ORF174
C1ORF185
C1ORF186
C1ORF189
C1ORF194
C1ORF204
C1ORF210
C1ORF216
C1ORF27
C1orf31
C1ORF35
C1orf39
C1ORF50
C1ORF52
C1ORF54
C1ORF56
C1orf67
C1orf68
C1orf84
C1ORF9
C1QL1
C1R
C1RL
C1RL-AS1
C20ORF141
C20ORF194
C20ORF196
C20ORF202
C20orf40
C20orf80
C20orf91
C20orf94
C21orf112
C21orf13
C21ORF2
C21ORF25
C21ORF33
C21ORF60
C21ORF62-AS1
C21ORF91
C22ORF15
C22ORF23
C22ORF24
C22ORF29
C22orf35
C22ORF39
C22ORF42
C22orf9
C2CD3
C2CD5
C2ORF15
C2ORF16
C2ORF27A
C2orf4
C2ORF42
C2ORF44
C2ORF47
C2ORF48
C2ORF49
C2ORF50
C2ORF66
C2ORF68
C2ORF69
C2ORF71
C2ORF74
C2ORF76
C2ORF78
C2ORF82
C2ORF83
C3ORF17
C3ORF18
C3ORF30
C3ORF33
C3ORF35
C3ORF38
C3ORF58
C3ORF62
C3ORF70
C3ORF79
C3ORF84
C3P1
C4ORF17
C4ORF27
C4ORF29
C4ORF3
C4ORF33
C4ORF36
C4ORF46
C4orf5
C5AR2
C5orf10
C5ORF15
C5ORF22
C5ORF24
C5ORF28
C5ORF34
C5ORF38
C5ORF45
C5ORF51
C5ORF56
C5ORF58
C5ORF60
C5ORF63
C6
C6ORF10
C6orf114
C6ORF120
C6ORF132
C6ORF136
C6orf140
C6ORF141
C6ORF15
C6ORF201
C6ORF203
C6ORF222
C6ORF223
C6ORF226
C6ORF25
C6orf41
C6ORF48
C6orf61
C6ORF62
C6ORF89
C6orf91
C7ORF13
C7ORF25
C7ORF26
C7ORF31
C7ORF33
C7ORF43
C7ORF50
C7ORF57
C7ORF60
C7ORF62
C7ORF72
C8A
C8B
C8ORF22
C8ORF31
C8ORF33
C8ORF34
C8ORF37
C8ORF44
C8ORF46
C8ORF48
C8ORF58
C8ORF59
C8ORF74
C8orf79
C8ORF82
C8ORF86
C9orf101
C9orf102
C9orf103
C9orf108
C9ORF117
C9ORF129
C9orf130
C9ORF131
C9ORF152
C9ORF153
C9orf155
C9ORF156
C9ORF170
C9ORF171
C9ORF24
C9ORF40
C9ORF41
C9ORF43
C9ORF57
C9ORF64
C9ORF69
C9ORF84
C9ORF85
C9ORF89
C9ORF9
C9ORF91
CA1
CA3
CA5A
CA5B
CA6
CA7
CAAP1
CAB39
CAB39L
CABLES1
CABLES2
CABP2
CABP4
CABP7
CABS1
CACFD1
CACHD1
CACNA1C
CACNA1E
CACNA1H
CACNA1I
CACNA1S
CACNA2D2
CACNA2D4
CACNB1
CACNB2
CACNB3
CACNB4
CACNG1
CACNG2
CACNG3
CACNG5
CACNG6
CACTIN
CACUL1
CACYBP
CAD
CADM4
CADPS2
CAGE1
CAIN
CALB1
CALB2
CALCOCO1
CALCOCO2
CALHM2
CALHM3
CALM1
CALM2
CALM3
CALML3
CALML4
CALML5
CALN1
CALR
CALU
CALY
CAMK1
CAMK2B
CAMK2D
CAMK2G
CAMK2N2
CAMKMT
CAMKV
CAMLG
CAMSAP1
CAMSAP2
CAMSAP3
CAMTA2
CAND2
CANX
CAP1
CAP2
CAPN1
CAPN10
CAPN12
CAPN2
CAPN7
CAPNS1
CAPRIN1
CAPRIN2
CAPSL
CAPZA1
CAPZA2
CAPZA3
CAPZB
CAR10
CARD10
CARD18
CARD6
CARHSP1
CARM1
CARNS1
CARS2
CARTPT
CASC1
CASC2
CASC3
CASC4
CASKIN2
CASP1
CASP14
CASP2
CASP3
CASP4
CASP6
CASP7
CASP9
CASQ1
CASQ2
CASS4
CAT
CATSPER2
CATSPER2P1
CATSPERG
CAV1
CAV2
CAV3
CBFA2T2
CBFA2T3
CBFB
CBL
CBLB
CBLC
CBLN4
CBR1
CBS
CBWD3
CBX1
CBX5
CBX6
CBX7
CBY1
CC2D1B
CC2D2A
CC2D2B
CCAR1
CCAR2
CCBL1
CCBL2
CCDC102A
CCDC102B
CCDC103
CCDC105
CCDC106
CCDC109B
CCDC110
CCDC112
CCDC114
CCDC115
CCDC116
CCDC117
CCDC120
CCDC121
CCDC122
CCDC124
CCDC125
CCDC126
CCDC127
CCDC130
CCDC134
CCDC136
CCDC137
CCDC138
CCDC14
CCDC140
CCDC142
CCDC144NL
CCDC146
CCDC148
CCDC149
CCDC15
CCDC150
CCDC151
CCDC154
CCDC157
CCDC158
CCDC159
CCDC168
CCDC17
CCDC171
CCDC172
CCDC174
CCDC176
CCDC177
CCDC18
CCDC183-AS1
CCDC22
CCDC23
CCDC24
CCDC25
CCDC28A
CCDC28B
CCDC30
CCDC34
CCDC36
CCDC37
CCDC39
CCDC42B
CCDC43
CCDC47
CCDC51
CCDC53
CCDC58
CCDC59
CCDC6
CCDC62
CCDC63
CCDC64
CCDC64B
CCDC65
CCDC66
CCDC68
CCDC69
CCDC7
CCDC70
CCDC71
CCDC71L
CCDC73
CCDC74A
CCDC77
CCDC81
CCDC83
CCDC84
CCDC85A
CCDC85C
CCDC86
CCDC87
CCDC88A
CCDC88C
CCDC89
CCDC9
CCDC90B
CCDC91
CCDC92
CCDC94
CCDC96
CCDC97
CCER1
CCHCR1
CCL1
CCL15
CCL24
CCL25
CCL28
CCNA1
CCNB1IP1
CCNC
CCND2
CCND3
CCNDBP1
CCNF
CCNG1
CCNG2
CCNH
CCNI
CCNJ
CCNK
CCNL1
CCNT2
CCNY
CCNYL1
CCP110
CCR10
CCR6
CCSAP
CCSER1
CCT2
CCT4
CCT5
CCT6A
CCT6B
CD101
CD151
CD164
CD19
CD200R1L
CD24
CD248
CD27-AS1
CD274
CD2BP2
CD300LD
CD302
CD320
CD3EAP
CD4
CD40
CD44
CD55
CD57~withdrawn
CD58
CD63
CD70
CD81
CD82
CD9
CD99L2
CDADC1
CDAN1
CDC123
CDC14B
CDC14C
CDC16
CDC20B
CDC23
CDC25A
CDC25B
CDC26
CDC27
CDC2L2
CDC34
CDC37
CDC37L1
CDC40
CDC42
CDC42BPB
CDC42EP3
CDC42SE1
CDC42SE2
CDC5L
CDC73
CDCA4
CDCA7L
CDCP1
CDCP2
CDH1
CDH11
CDH13
CDH15
CDH16
CDH17
CDH20
CDH24
CDH3
CDH5
CDHR2
CDHR3
CDHR4
CDIP1
CDIPT
CDIPT-AS1
CDK10
CDK12
CDK13
CDK14
CDK15
CDK16
CDK17
CDK18
CDK2
CDK20
CDK3
CDK5
CDK5R1
CDK5R2
CDK5RAP2
CDK5RAP3
CDK6
CDK8
CDK9
CDKAL1
CDKL1
CDKL3
CDKL4
CDKN1B
CDKN2AIP
CDKN2AIPNL
CDPF1
CDPX2
CDR1
CDR2
CDR2L
CDRT15P1
CDRT4
CDS1
CDV3
CDX4
CDY1
CEACAM1
CEACAM18
CEACAM19
CEACAM5
CEACAM7
CEBPA-AS1
CEBPE
CEBPG
CEBPZ
CECR1
CECR2
CECR5
CECR6
CEL
CELA2A
CELA3A
CELA3B
CELF1
CELF2
CELF4
CELIAC4
CELSR1
CELSR2
CEND1
CENPB
CENPBD1
CENPBD1P1
CENPC
CENPH
CENPJ
CENPL
CENPO
CENPQ
CENPT
CEP104
CEP112
CEP120
CEP126
CEP131
CEP162
CEP164
CEP170
CEP19
CEP192
CEP250
CEP290
CEP44
CEP57
CEP57L1
CEP63
CEP68
CEP70
CEP72
CEP76
CEP78
CEP83
CEP83-AS1
CEP85
CEP85L
CEP95
CEP97
CEPT1
CERCAM
CERK
CERS2
CERS4
CERS5
CES2
CES5A
CETN1
CETN2
CETN3
CETN4P
CFAP126
CFAP20
CFAP36
CFAP45
CFAP58
CFAP61
CFAP97
CFC1B
CFD
CFDP1
CFHR4
CFHR5
CFL1
CFL1P1
CFL2
CFLAR
CG1
CGA
CGB1
CGGBP1
CGN
CGNL1
CGREF1
CGRRF1
CHADL
CHAF1A
CHAF1B
CHAT
CHCHD1
CHCHD2
CHCHD3
CHCHD4
CHCHD7
CHD1
CHD4
CHDS5
CHEK2
CHERP
CHFR
CHGA
CHGB
CHIA
CHIAP2
CHIC1
CHIC2
CHID1
CHKA
CHKB
CHKB-CPT1B
CHM
CHML
CHMP4C
CHMP5
CHMP6
CHMP7
CHODL-AS1
CHORDC1
CHP1
CHPF
CHPF2
CHPT1
CHRAC1
CHRDL1
CHRM4
CHRM5
CHRNA1
CHRNA3
CHRNA6
CHRNB1
CHRNB2
CHRNB3
CHRNB4
CHRND
CHRNE
CHRNG
CHST10
CHST11
CHST12
CHST15
CHST3
CHST6
CHST7
CHSY1
CHSY3
CHTF8
CHTOP
CHUK
CHURC1
CIAO1
CIAPIN1
CIART
CIC
CIDEA
CIDEB
CIDEC
CIDECP
CIITA
CILP2
CIPC
CIR1
CIRBP
CIRH1A
CISD1
CIZ1
CKAP5
CKB
CKM
CKMT1B
CKMT2
CLASP1
CLASP2
CLB
CLCA1
CLCA4
CLCC1
CLCN1
CLCN4
CLCN6
CLDN10
CLDN11
CLDN15
CLDN17
CLDN2
CLDN20
CLDN22
CLDN6
CLDN7
CLEC16A
CLEC17A
CLEC1A
CLEC1B
CLEC2A
CLEC2B
CLEC2D
CLEC2L
CLEC4G
CLEC4M
CLEC6A
CLEC7A
CLGN
CLHC1
CLIC1
CLIC2
CLIC4
CLIC5
CLIC6
CLIP1
CLIP4
CLK1
CLK2
CLK4
CLLU1
CLN3
CLN5
CLN6
CLOCK
CLONE243
CLP1
CLPB
CLPP
CLPS
CLPSL1
CLPTM1
CLPTM1L
CLPX
CLRN1
CLRN3
CLSTN1
CLSTN3
CLTCL1
CLTCL2
CLUAP1
CLUH
CLUHP3
CLUL1
CLVS1
CMAS
CMBL
CMC1
CMC2
CMC4
CMIP
CMKLR1
CMPK1
CMPK2
CMSS1
CMT2B1
CMT2B2
CMTM1
CMTM2
CMTM7
CMTM8
CMTR1
CMTR2
CNBD1
CNDP2
CNGA2
CNGA4
CNIH1
CNIH2
CNIH3
CNIH4
CNKSR1
CNN2
CNN3
CNNM1
CNNM2
CNOT10
CNOT11
CNOT7
CNOT8
CNP
CNPY2
CNPY4
CNTF
CNTFR
CNTN3
CNTN4
CNTNAP1
CNTNAP4
CNTRL
CNTROB
CO
COA1
COA3
COA4
COA5
COASY
COBL
COBLL1
COG3
COG4
COG5
COG6
COG8
COL11A1
COL13A1
COL18A1_2
COL19A1
COL1A2
COL24A1
COL4A1
COL4A2
COL4A3BP
COL4A5
COL5A1
COL5A2
COL5A3
COL6A1
COL6A2
COL6A3
COL6A5
COL6A6
COL8A2
COLCA2
COLEC10
COLGALT1
COMMD1
COMMD10
COMMD2
COMMD3
COMMD6
COMMD8
COMMD9
COMT
COPB2
COPG1
COPRS
COPS2
COPS3
COPS4
COPS6
COPS7A
COPS7B
COPS8
COPZ1
COPZ2
COQ10A
COQ10B
COQ2
COQ4
COQ5
COQ9
CORIN
CORO1B
CORO1C
CORO2A
CORO2B
CORO6
CORO7
COT
COX10
COX11
COX14
COX15
COX16
COX17
COX18
COX19
COX20
COX4I1
COX6A2
COX7A1
COX7A2
COX7B
COX7B2
COX7C
COX8A
CPA1
CPA3
CPA5
CPEB1
CPEB3
CPEB4
CPLX1
CPLX4
CPN1
CPNE1
CPNE2
CPNE4
CPNE8
CPNE9
CPPED1
CPS1-IT1
CPSF2
CPSF3
CPSF3L
CPSF4
CPSF6
CPSF7
CPT1A
CPT1P
CPT2
CPXCR1
CR2
CRABP1
CRADD
CRAMP1L
CRAT
CRB2
CRB3
CRCP
CRCT1
CREB1
CREB3
CREB3L1
CREB3L3
CREB3L4
CREBBP
CREBL2
CREBRF
CREBZF
CREG1
CRELD1
CRELD2
CRH
CRIM1
CRIP1
CRISP1
CRISPLD2
CRK
CRKL
CRLF1
CRLS1
CRMP1
CRNKL1
CROCC
CRP
CRTC2
CRTC3
CRX
CRY1
CRY2
CRYAB
CRYBB1
CRYBG3
CRYGA
CRYGB
CRYGC
CRYL1
CRYM
CRYM-AS1
CRYZ
CS
CSAD
CSAG2
CSAG3
CSDE1
CSE1L
CSF1
CSF1R
CSGALNACT2
CSH2
CSK
CSMD1
CSMD2
CSMD3
CSN1S1
CSN1S2AP
CSN2
CSN3
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK1G3
CSNK2A1
CSNK2A2
CSNK2A3
CSPP1
CSRNP2
CSRP1
CSRP2BP
CSRP3
CST1
CST13P
CST2
CST3
CST4
CST5
CST6
CST8
CST9L
CSTB
CSTF1
CSTF2
CSTF2T
CSTF3
CT45A1
CT45A3
CT45A4
CT45A5
CT47A1
CT47A10
CT47A11
CT47A2
CT47A6
CT47A7
CT47A9
CT47B1
CT83
CTAG2
CTAGE10P
CTAGE11P
CTAGE15
CTAGE4
CTAGE6
CTAGE9
CTB
CTBP1
CTBP1-AS2
CTC1
CTCF
CTDNEP1
